10, 0, 0, 58, soseusodini, 0, 0, 7, 0.15, 8, 0, 1.913, True
10, 0, 1, 292, atsrgaol, 0, 0, 7, 0.15, 8, 1, 1.763, False
10, 0, 2, 190, iirnoe, 0, 0, 8, 0.15, 8, 1, 1.187, False
10, 0, 3, 802, hopeful, 1, 0, 9, 0.15, 8, 1, 0.659, True
10, 0, 4, 871, practical, 1, 0, 9, 0.15, 8, 1, 0.633, True
10, 0, 5, 937, thrill, 1, 0, 8, 0.15, 8, 1, 0.998, True
10, 0, 6, 106, loty, 0, 0, 8, 0.15, 8, 0, 0.83, True
10, 0, 7, 694, champ, 1, 0, 7, 0.15, 8, 1, 0.641, True
10, 0, 8, 253, grseaynr, 0, 0, 7, 0.15, 8, 0, 0.718, True
10, 0, 9, 102, lcaeuuaixi, 0, 0, 6, 0.15, 8, 1, 2.025, False
10, 0, 10, 273, elhblae, 0, 0, 7, 0.15, 8, 1, 1.227, False
10, 0, 11, 11, ndaca, 0, 0, 8, 0.15, 8, 0, 1.073, True
10, 0, 12, 881, proud, 1, 0, 8, 0.15, 8, 1, 0.582, True
10, 0, 13, 723, dignified, 1, 0, 7, 0.15, 8, 1, 0.935, True
10, 0, 14, 47, gnnorbren, 0, 0, 7, 0.15, 8, 0, 0.974, True
10, 0, 15, 141, ridegnow, 0, 0, 6, 0.15, 8, 0, 0.939, True
10, 0, 16, 139, snrer, 0, 0, 6, 0.15, 8, 0, 1.057, True
10, 0, 17, 126, casek, 0, 0, 5, 0.15, 8, 1, 1.659, False
10, 0, 18, 165, nueyuica, 0, 0, 6, 0.15, 8, 0, 1.009, True
10, 0, 19, 320, niptg, 0, 0, 6, 0.15, 8, 0, 0.835, True
10, 0, 20, 927, sunset, 1, 0, 5, 0.15, 8, 1, 1.825, True
10, 0, 21, 112, uklipasgr, 0, 0, 5, 0.15, 8, 0, 0.79, True
10, 0, 22, 895, riches, 1, 0, 4, 0.15, 8, 0, 0.617, False
10, 0, 23, 942, treasure, 1, 0, 5, 0.15, 8, 0, 0.651, False
10, 0, 24, 894, reward, 1, 0, 6, 0.15, 8, 0, 1.001, False
10, 0, 25, 22, deihdoaul, 0, 0, 7, 0.15, 8, 1, 2.206, False
10, 0, 26, 56, drueob, 0, 0, 8, 0.15, 8, 0, 0.726, True
10, 0, 27, 182, oiok, 0, 0, 8, 0.15, 8, 0, 0.726, True
10, 0, 28, 756, father, 1, 0, 7, 0.15, 8, 1, 0.739, True
10, 0, 29, 924, sunlight, 1, 0, 7, 0.15, 8, 1, 0.995, True
10, 0, 30, 122, lsfaopstu, 0, 0, 6, 0.15, 8, 1, 1.507, False
10, 0, 31, 923, sun, 1, 0, 7, 0.15, 8, 1, 0.638, True
10, 0, 32, 807, impressed, 1, 0, 7, 0.15, 8, 1, 0.651, True
10, 0, 33, 24, glheins, 0, 0, 6, 0.15, 8, 0, 0.729, True
10, 0, 34, 773, generous, 1, 0, 6, 0.15, 8, 1, 0.579, True
10, 0, 35, 278, bnrurbds, 0, 0, 5, 0.15, 8, 0, 1.279, True
10, 0, 36, 847, music, 1, 0, 5, 0.15, 8, 0, 1.094, False
10, 0, 37, 901, savior, 1, 0, 6, 0.15, 8, 1, 0.619, True
10, 0, 38, 662, applause, 1, 0, 6, 0.15, 8, 1, 0.449, True
10, 0, 39, 2, gurlagrtlce, 0, 0, 5, 0.15, 8, 0, 0.657, True
10, 0, 40, 134, uyh, 0, 0, 5, 0.15, 8, 0, 0.875, True
10, 0, 41, 234, tibdaoeelt, 0, 0, 4, 0.15, 8, 0, 0.798, True
10, 0, 42, 958, warm, 1, 0, 4, 0.15, 8, 1, 1.425, True
10, 0, 43, 946, trophy, 1, 0, 3, 0.15, 8, 0, 0.625, False
10, 0, 44, 105, iucelast, 0, 0, 4, 0.15, 8, 0, 0.787, True
10, 0, 45, 208, fvsgeseaslr, 0, 0, 4, 0.15, 8, 0, 0.662, True
10, 0, 46, 70, tbegpt, 0, 0, 3, 0.15, 8, 0, 0.635, True
10, 0, 47, 225, oogbssrvr, 0, 0, 3, 0.15, 8, 0, 0.555, True
10, 0, 48, 692, casual, 1, 0, 2, 0.15, 8, 0, 0.905, False
10, 0, 49, 833, luscious, 1, 0, 3, 0.15, 8, 0, 0.673, False
10, 1, 0, 1182, prison, 1, 1, 4, 0.15, 8, 1, 0.742, True
10, 1, 1, 1173, panic, 1, 1, 4, 0.15, 8, 0, 0.59, False
10, 1, 2, 386, ans, 0, 1, 5, 0.15, 8, 0, 1.324, True
10, 1, 3, 342, hntwedd, 0, 1, 5, 0.15, 8, 0, 1.403, True
10, 1, 4, 421, putomdlfeir, 0, 1, 4, 0.15, 8, 1, 0.489, False
10, 1, 5, 992, assault, 1, 1, 5, 0.15, 8, 0, 0.673, False
10, 1, 6, 1031, crushed, 1, 1, 6, 0.15, 8, 0, 1.761, False
10, 1, 7, 576, nhuitc, 0, 1, 7, 0.15, 8, 1, 0.862, False
10, 1, 8, 372, botiseee, 0, 1, 8, 0.15, 8, 1, 1.033, False
10, 1, 9, 1193, revenge, 1, 1, 9, 0.15, 8, 1, 0.729, True
10, 1, 10, 633, toc, 0, 1, 9, 0.15, 8, 1, 1.067, False
10, 1, 11, 1172, pain, 1, 1, 10, 0.15, 8, 1, 0.667, True
10, 1, 12, 368, ibeatreh, 0, 1, 10, 0.15, 8, 1, 1.958, False
10, 1, 13, 1121, ill, 1, 1, 11, 0.15, 8, 0, 0.934, False
10, 1, 14, 608, hcifdr, 0, 1, 12, 0.15, 8, 0, 0.651, True
